vaccination rates,District,State,antenatal care,child malnutrition
70.3,Sepahijala,Tripura,52.8,34.5
48.5,South Tripura,Tripura,58.4,25.5
58.3,Unakoti,Tripura,24.6,31.8
88.4,West Tripura,Tripura,61.2,30.3
74.1,Agra,Uttar Pradesh,42.7,35.9
70.1,Aligarh,Uttar Pradesh,44.7,35.0
75.1,Ambedkar Nagar,Uttar Pradesh,44.5,31.1
75.9,Amethi,Uttar Pradesh,31.7,35.8
82.5,Auraiya,Uttar Pradesh,50.4,39.7
64.5,Azamgarh,Uttar Pradesh,38.5,33.4
83.9,Baghpat,Uttar Pradesh,42.4,25.5
51.8,Bahraich,Uttar Pradesh,34.3,52.1
62.2,Ballia,Uttar Pradesh,30.5,43.8
57.4,Balrampur,Uttar Pradesh,41.0,41.2
62.9,Banda,Uttar Pradesh,39.0,51.0
64.4,Bara Banki,Uttar Pradesh,22.6,41.9
70.5,Bareilly,Uttar Pradesh,43.1,45.9
73.8,Basti,Uttar Pradesh,31.5,35.9
90.6,Bijnor,Uttar Pradesh,48.8,36.2
69.5,Budaun,Uttar Pradesh,40.6,51.8
67.3,Bulandshahr,Uttar Pradesh,47.6,37.6
70.6,Chandauli,Uttar Pradesh,32.9,39.5
63.7,Chitrakoot,Uttar Pradesh,30.3,47.5
64.2,Deoria,Uttar Pradesh,42.5,36.8
55.5,Etah,Uttar Pradesh,33.6,48.8
77.7,Etawah,Uttar Pradesh,43.7,38.8
68.7,Faizabad,Uttar Pradesh,33.8,30.6
68.5,Farrukhabad,Uttar Pradesh,41.5,47.8
55.7,Fatehpur,Uttar Pradesh,38.1,51.1
67.1,Firozabad,Uttar Pradesh,39.3,46.9
68.2,Gautam Buddha Nagar,Uttar Pradesh,52.7,25.5
68.5,Ghaziabad,Uttar Pradesh,62.0,28.2
60.8,Ghazipur,Uttar Pradesh,29.2,39.3
59.9,Gonda,Uttar Pradesh,41.7,45.9
67.7,Gorakhpur,Uttar Pradesh,56.3,29.6
77.1,Hamirpur,Uttar Pradesh,43.2,48.0
84.4,Hapur,Uttar Pradesh,53.3,30.2
63.3,Hardoi,Uttar Pradesh,39.7,44.5
66.2,Jalaun,Uttar Pradesh,62.8,45.1
75.1,Jaunpur,Uttar Pradesh,47.6,40.5
44.5,Jhansi,Uttar Pradesh,36.6,40.9
72.9,Jyotiba Phule Nagar,Uttar Pradesh,43.9,42.2
55.8,Kannauj,Uttar Pradesh,46.4,43.0
56.3,Kanpur Dehat,Uttar Pradesh,54.4,44.1
72.8,Kanpur Nagar,Uttar Pradesh,69.9,34.6
69.2,Kanshiram Nagar,Uttar Pradesh,38.1,45.1
65.7,Kaushambi,Uttar Pradesh,34.0,40.2
69.5,Kheri,Uttar Pradesh,48.0,47.6
65.4,Kushinagar,Uttar Pradesh,35.8,32.2
70.8,Lalitpur,Uttar Pradesh,45.7,46.6
68.9,Lucknow,Uttar Pradesh,53.1,32.1
71.6,Mahamaya Nagar,Uttar Pradesh,27.8,39.1
76.2,Mahoba,Uttar Pradesh,52.5,40.5
70.7,Mahrajganj,Uttar Pradesh,46.2,42.3
75.0,Mainpuri,Uttar Pradesh,38.1,44.3
73.6,Mathura,Uttar Pradesh,39.3,31.6
59.1,Mau,Uttar Pradesh,43.2,25.4
82.5,Meerut,Uttar Pradesh,49.9,32.1
68.3,Mirzapur,Uttar Pradesh,36.5,43.4
84.5,Moradabad,Uttar Pradesh,33.2,34.7
69.5,Muzaffarnagar,Uttar Pradesh,44.0,29.8
92.3,Pilibhit,Uttar Pradesh,43.6,38.9
75.0,Pratapgarh,Uttar Pradesh,30.6,35.5
55.8,Prayagraj,Uttar Pradesh,45.9,37.9
71.4,Rae Bareli,Uttar Pradesh,43.6,47.0
79.4,Rampur,Uttar Pradesh,50.4,40.4
89.2,Saharanpur,Uttar Pradesh,52.4,28.8
83.0,Sambhal,Uttar Pradesh,32.9,51.6
80.2,Sant Kabir Nagar,Uttar Pradesh,43.2,42.3
62.2,Sant Ravidas Nagar (Bhadohi),Uttar Pradesh,25.8,42.7
76.5,Shahjahanpur,Uttar Pradesh,35.3,44.5
91.1,Shamli,Uttar Pradesh,41.0,28.6
59.6,Shrawasti,Uttar Pradesh,42.4,50.9
65.1,Siddharthnagar,Uttar Pradesh,60.9,37.2
65.9,Sitapur,Uttar Pradesh,35.4,47.8
72.7,Sonbhadra,Uttar Pradesh,36.4,38.3
80.2,Sultanpur,Uttar Pradesh,47.0,33.4
58.6,Unnao,Uttar Pradesh,19.8,39.2
79.3,Varanasi,Uttar Pradesh,51.4,37.4
85.1,Almora,Uttarakhand,44.3,26.0
86.9,Bageshwar,Uttarakhand,67.9,23.6
85.0,Chamoli,Uttarakhand,52.2,34.1
91.9,Champawat,Uttarakhand,62.0,24.9
76.0,Dehradun,Uttarakhand,75.3,20.9
76.5,Haridwar,Uttarakhand,48.5,31.1
74.1,Nainital,Uttarakhand,59.7,23.2
76.0,Pauri Garhwal ,Uttarakhand,39.6,30.0
96.0,Pithoragarh,Uttarakhand,58.7,25.6
91.4,Rudraprayag ,Uttarakhand,76.5,25.2
83.0,Tehri Garhwal,Uttarakhand,48.9,29.3
83.2,Udham Singh Nagar,Uttarakhand,75.9,26.8
81.8,Uttarkashi,Uttarakhand,66.8,34.1
85.0,Bankura,West Bengal,75.7,30.3
81.6,Birbhum,West Bengal,78.4,37.0
92.6,Dakshin Dinajpur,West Bengal,76.4,31.9
94.2,Darjeeling,West Bengal,79.2,34.3
87.8,Haora,West Bengal,82.7,27.5
95.4,Hugli,West Bengal,72.2,28.9
87.9,Jalpaiguri,West Bengal,88.4,28.9
94.2,Koch Bihar,West Bengal,77.3,28.7
80.2,Kolkata,West Bengal,71.7,29.6
87.2,Maldah,West Bengal,82.8,40.5
90.0,Murshidabad,West Bengal,66.9,39.8
89.9,Nadia,West Bengal,71.2,26.1
92.8,North Twenty Four Parganas,West Bengal,89.9,32.4
62.4,Paschim Barddhaman,West Bengal,70.4,39.7
76.9,Paschim Medinipur,West Bengal,63.1,31.1
97.2,Purba Barddhaman,West Bengal,80.5,32.7
88.4,Purba Medinipur,West Bengal,56.8,25.8
84.7,Puruliya,West Bengal,57.8,36.9
91.7,South Twenty Four Parganas,West Bengal,87.5,36.7
84.4,Uttar Dinajpur,West Bengal,70.1,44.8
